title,link,desc,JobType,field,year
Assistant Professor in English (Creative Writing),https://joblist.mla.org/job-details/2836/assistant-professor-in-english-creative-writing-/?JbeBatchId=3D539&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-11-10,"St. Louis, MO | English | Full-time | Missouri | Creative writing",TT,Creative Writing,2020
"Assistant Professor English, Communications, Media/African American Literature",https://joblist.mla.org/job-details/2768/assistant-professor-english-communications-media-african-american-literature/?JbeBatchId=3D520&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-22,"100 Ochre Point Avenue, Newport, RI 02840 | English | Full-time | Rhode Island",TT,African American,2020
Assistant Professor (Tenure Track) in French and Francophone Studies,https://joblist.mla.org/job-details/2767/assistant-professor-tenure-track-in-french-and-francophone-studies/?JbeBatchId=3D520&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-22,"Waterville, Maine | Humanities | Full-time | Maine | French",TT,French,2020
Assistant Professor of Spanish Linguistics,https://joblist.mla.org/job-details/2766/assistant-professor-of-spanish-linguistics/?JbeBatchId=3D520&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-22,"Kalamazoo College, Kalamazoo, Michigan, USA | Full-time | Michigan | Spanish | Linguistics",TT,Spanish,2020
"Assistant Professor, English",https://joblist.mla.org/job-details/2696/assistant-professor-english/?JbeBatchId=3D500&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-02,"http://employment.govst.edu/postings/5442 | English | Generalist, Literature in English other than British and American, Literature, other minority, Literature, postcolonial, Literature, world | Full-time | Illinois",TT,Anglophone,2020
Assistant Professor of Creative Nonfiction,https://joblist.mla.org/job-details/2698/assistant-professor-of-creative-nonfiction/?JbeBatchId=3D500&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-02,"Colorado Springs, CO | English | Full-time | Colorado | Creative writing | Hiring standards",TT,Creative Writing,2020
Dartmouth College Neukom Fellow,https://joblist.mla.org/job-details/2644/dartmouth-college-neukom-fellow/?JbeBatchId=3D483&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-09-15,"Hanover, NH | English | Interdisciplinary | Full-time | New Hampshire",Postdoc,Unknown,2020
"Assistant Professor, Early World Literature",https://joblist.mla.org/job-details/2729/assistant-professor-early-world-literature/?JbeBatchId=3D508&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-10,"Fort Myers, Florida | English | Full-time | Florida",TT,Anglophone,2020
"Assistant Professor, Later World Literature",https://joblist.mla.org/job-details/2728/assistant-professor-later-world-literature/?JbeBatchId=3D508&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-10,"Fort Myers, Florida | English | Full-time | Florida",TT,Anglophone,2020
"Instructor I, Spanish",https://joblist.mla.org/job-details/2727/instructor-i-spanish/?JbeBatchId=3D508&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-10,"Fort Myers, Florida | Full-time | Florida | Spanish",Non-TT,Spanish,2020
