JobTitle,JobYear,JobLink,JobType,JobField,JobSource,JobDesc,JobLink_norm,FieldAlias,Count
"Bowdoin College (Brunswick, ME)",2011,,Unknown,Medieval,Wiki,"From MLA JIL (November 12)
Description: Two-year, post-doctoral fellowship in Medieval English literature and culture beginning in the fall of 2011. In particular, Bowdoin seeks scholars whose research and teaching can connect disciplines across campus. Fellows are expected to teach three courses each academic year and contribute new courses to the Bowdoin curriculum.
Deadline: December 1 (review of applications begins)
Rejection (no interview) via email: February 22
MLA interview scheduled via phone: December 17 (x4)
Rejection (after MLA interview): February 22 (by means of a very nice email)
Campus interview scheduled by phone: January 11
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:",,Medieval,202
"Brown University (Providence, RI)",2011,http://chronicle.com/jobs/0000646693-01/,Unknown,Medieval,Wiki,"LINK
Description: ""full professor of English with tenure in all fields of literature in English before 1700""
Deadline: November 1
Acknowledgment received:
Request for additional materials via email: November 17
Rejection (no interview):
MLA or phone interview scheduled: [from Renaissance wiki: ""MLA interviews were scheduled the week of Dec 13, by email""]
Rejection (after MLA or phone interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made: from Renaissance page: ""Has been made (to a well-known medievalist)""
Offer accepted:
NOTES:
Cross-posted at Renaissance 2011",http://chronicle.com/jobs/0000646693-01/,Medieval,202
Hebrew University of Jerusalem,2011,http://www.hum.huji.ac.il/new.php?cat=3223,Unknown,Medieval,Wiki,"Title: Assistant/Associate/Full professor of English
Description: Specialists in pre-1800 British literature
Link: http://www.hum.huji.ac.il/new.php?cat=3223
Deadline: October 3
Interview scheduled:
Rejection:
Offer made:
Offer accepted:
NOTES:
Cross-posted at Renaissance 2011
The language of instruction is Hebrew.",http://www.hum.huji.ac.il/new.php?cat=3223,Medieval,202
Houston Baptist University,2011,http://www.higheredjobs.com/search/details.cfm?JobCode=175484353,Unknown,Medieval,Wiki,"Position Title: full-time faculty English Literature Professor
Link: from HigherEdJobs
Description: Chaucer scholars will be preferred. Knowledge of Old English (Anglo-Saxon) and Middle English will be expected. Successful candidates will possess the ability to teach Literature from a Christian worldview including English Literature survey courses, Great Works of Literature survey courses, upper-level English Literature courses, and English Composition (Writing for Wisdom).
Deadline: review begins immediately
Acknowledgment received:
Request for additional materials via email: February 11
Rejection (no interview):
MLA or phone interview scheduled:
Rejection (after MLA or phone interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:
The university lists four open positions in various areas and states that two will be for 2011 and two for 2012 (but it doesn't say which two will be for 2011).",http://www.higheredjobs.com/search/details.cfm?JobCode=175484353,Medieval,202
"Penn State Erie, The Behrend College (Erie, PA)",2011,http://behrend.psu.edu/academic/hss/employment.htm#AssistantProfessorofEnglish,Unknown,Medieval,Wiki,"LINK
Title: tenure track
Description: ""Pre-20th-Century British literature with a sub-specialty in technical writing and editing. The successful candidate will contribute to both the Literature and Professional Writing tracks within the English major.""
Deadline: October 11 (review of applications begins)
Rejection Letter:
MLA interview scheduled via email: December 1
Campus interview scheduled: January 21, according to Renaissance page.
Offer made:
Offer accepted: February 18 (according to Renaissance page)
NOTES:
Cross-posted at Generalist 2011, Renaissance 2011, & British Open 2011",http://behrend.psu.edu/academic/hss/employment.htm#AssistantProfessorofEnglish,Medieval,202
University of Maine,2011,http://jobs.umaine.edu/blog/2010/10/15/honors-preceptor-of-english/,Unknown,Medieval,Wiki,"From MLA JIL (10/15)
Title: Lecturer (joint appointment with Department of English and Honors College)
Description: either Medieval or Renaissance literature; experience in Honors education, in both literary areas and in writing instruction preferred
Link to University Job Posting
Deadline: November 15 (review of applications begins)
Acknowledgment received via email: November 3, November 4, November 9, November 16, November 18
Request for additional materials:
Rejection (no interview):
Phone interview scheduled by email: January 12; January 13 (x3)
Rejection (after MLA or phone interview):
Campus interview scheduled by email and phone: January 27
Rejection (after campus interview):
Offer made:
Offer accepted: Yes
NOTES AND QUERIES:
Cross-posted at Renaissance 2011",http://jobs.umaine.edu/blog/2010/10/15/honors-preceptor-of-english/,Medieval,202
University of Massachusetts (Boston),2011,http://chronicle.com/jobs/0000676822-01,Unknown,Medieval,Wiki,"Position Title: one-year, full-time Lecturer
Description: Responsibilities include teaching three undergraduate courses per term at the sophomore and upper levels. Strong candidates will have experience and training relevant to the teaching of Chaucer, the Medieval Period, and a modified survey course: Five British Authors. Interest and ability in teaching the history of English to prospective teachers is a plus.
Link: [5]
Deadline: May 25
Acknowledgment received:
Request for additional materials:
Rejection (no interview):
Phone interview scheduled:
Rejection (after phone interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:",http://chronicle.com/jobs/0000676822-01,Medieval,202
University of Nottingham,2011,http://www.nottingham.ac.uk/Jobs/CurrentVacancies/ref/CE01264A,Unknown,Medieval,Wiki,"link (no longer active link)
Position Title:
Lecturer
Subfield/description: ""
Early English Studies – Middle English"" 
Deadline: September 23
Acknowledgment received: September 19
Request for additional materials: October 5
Rejection (no interview): October 17; October 19
Initial interview scheduled:
Rejection (after initial interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES: Job begins 1 January 2011",http://www.nottingham.ac.uk/Jobs/CurrentVacancies/ref/CE01264A,Medieval,202
The University of York,2011,https://www22.i-grasp.com/fe/tpl_YorkUni01.asp?newms=jj&id=42311,Unknown,Medieval,Wiki,"Position Title: Lectureship in High Medieval Literature (1066-1330)
Description: Beginning in October 2011. Teach High and Late Medieval Literature. Research in the area of High Medieval Literature. The ability to teach Old French will be a strong advantage. Applications from candidates with research interests in medieval literatures outside England will be welcomed, as long as the candidate can teach the literature of medieval England at undergraduate level. The ability to teach post-medieval literature (in English or another language) at an undergraduate level may be an advantage.
Link: https://www22.i-grasp.com/fe/tpl_YorkUni01.asp?newms=jj&id=42311
Deadline: April 21
Acknowledgment received:
Request for additional materials:
Rejection (no interview):
Phone interview scheduled: NA
Rejection (after phone interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES: Based on my knowledge of general UK hiring practices, for this job and for the Medieval Latin job also being offered at York, shortlisted candidates will most likely be invited directly to campus for an interview and presentation.",https://www22.i-grasp.com/fe/tpl_YorkUni01.asp?newms=jj&id=42311,Medieval,202
The University of York,2011,https://www22.i-grasp.com/fe/tpl_YorkUni01.asp?newms=jj&id=42310,Unknown,Medieval,Wiki,"Position Title: Lectureship in Medieval Latin Literature
Description: Beginning in October 2011. Teach Medieval and Classical Latin and contribute to the teaching of Medieval Literature in English or another European language. Research interests in the field of Medieval Latin literature.
Link: https://www22.i-grasp.com/fe/tpl_YorkUni01.asp?newms=jj&id=42310
Deadline: April 21
Acknowledgment received:
Request for additional materials:
Rejection (no interview):
Campus interview scheduled: May 19
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES: Based on my knowledge of general UK hiring practices, for this job and for the High Medieval job also being offered at York, shortlisted candidates will most likely be invited directly to campus for an interview and presentation.",https://www22.i-grasp.com/fe/tpl_YorkUni01.asp?newms=jj&id=42310,Medieval,202
